time 		gpv001pnt10113ppntm		evf507ety101mpzoyout		chtcon(1)		chavg(1)		chlhsumpa		rcptavgn	time 		rcpppzr		rcp054rcp007mnzoyout		rcv501std0102fvol		fwfrcp001gv		rcppmssga		msfsg(1)	
00:01:02:700		6.834010E+06		100.03		35.4637		0.00548341		0.000583099		309.861	00:01:02:700		1.547800E+07		0.167609		2.85683		529.582		6.967580E+06		526.613	
00:01:02:600		6.834000E+06		100.03		35.4637		0.00548341		0.000583099		309.861	00:01:02:600		1.547800E+07		0.167612		2.85678		529.582		6.967570E+06		526.613	
00:01:02:500		6.834000E+06		100.03		35.4637		0.00548341		0.000583099		309.861	00:01:02:500		1.547800E+07		0.167614		2.85669		529.582		6.967570E+06		526.613	
00:01:02:399		6.833990E+06		100.03		35.4666		0.00548341		0.000580748		309.861	00:01:02:399		1.547800E+07		0.167617		2.85651		529.582		6.967560E+06		526.612	
00:01:02:299		6.833980E+06		100.03		35.4666		0.00548341		0.000580748		309.861	00:01:02:299		1.547800E+07		0.167621		2.85647		529.584		6.967550E+06		526.606	
00:01:02:200		6.833980E+06		100.03		35.4695		0.00548341		0.000578397		309.86	00:01:02:200		1.547800E+07		0.167624		2.85642		529.584		6.967550E+06		526.625	
00:01:02:100		6.833970E+06		100.03		35.4695		0.00548341		0.000578397		309.86	00:01:02:100		1.547800E+07		0.167626		2.85637		529.584		6.967540E+06		526.615	
00:01:02:000		6.833960E+06		100.03		35.4695		0.00548341		0.000578397		309.86	00:01:02:000		1.547790E+07		0.167629		2.85628		529.586		6.967530E+06		526.615	
00:01:01:899		6.833950E+06		100.03		35.4725		0.00548341		0.000576045		309.86	00:01:01:899		1.547790E+07		0.167632		2.85619		529.586		6.967530E+06		526.615	
00:01:01:799		6.833950E+06		100.03		35.4725		0.00548341		0.000576045		309.86	00:01:01:799		1.547790E+07		0.167634		2.85614		529.586		6.967520E+06		526.615	
00:01:01:700		6.833940E+06		100.03		35.4754		0.00548341		0.000573694		309.86	00:01:01:700		1.547790E+07		0.167637		2.856		529.586		6.967510E+06		526.614	
00:01:01:600		6.833940E+06		100.03		35.4754		0.00548341		0.000573694		309.86	00:01:01:600		1.547790E+07		0.167641		2.85591		529.586		6.967510E+06		526.605	
00:01:01:500		6.833930E+06		100.031		35.4754		0.00548341		0.000573694		309.86	00:01:01:500		1.547790E+07		0.167643		2.85587		529.586		6.967500E+06		526.61	
00:01:01:399		6.833920E+06		100.031		35.4784		0.00548341		0.000571343		309.86	00:01:01:399		1.547790E+07		0.167646		2.85582		529.588		6.967500E+06		526.618	
00:01:01:299		6.833910E+06		100.031		35.4784		0.00548341		0.000571343		309.86	00:01:01:299		1.547790E+07		0.167649		2.85568		529.588		6.967490E+06		526.619	
